#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-12-21T22:48:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5678817e2ad9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/144/130&tab:{J/AJ/144/130/table2}&key:source=J/AJ/144/130/table2&HTTPPRM:&&-ref=VIZ5678817e2ad9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/144/130/table2
#-order=I
#-out=HIP
#-out=SpT
#-out=Vmag
#-out=Q
#-out=Teff
#-out=FWHM1
#-out=FWHM2
#-out=FWHM3
#-out=vsini1
#-out=vsini2
#-out=vsini3
#-out=<vsini>
#-out=e_<vsini>
#-out=N
#-out=M
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51440130
#Name: J/AJ/144/130
#Title: Rotational velocities of nearby HIP B stars (Braganca+, 2012)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_144_130_table2:
#Name: J/AJ/144/130/table2
#Title: vsini results for the entire sample
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	HIP	(I6)	[14898/101909] HIPPARCOS number	[ucd=meta.id;meta.main]
#Column	SpT	(a8)	Spectral type	[ucd=src.spType]
#Column	Vmag	(F5.2)	[2.81/10.68]? Apparent V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Q	(F5.2)	Value of the classical reddening free parameter Q (1)	[ucd=phot.color.reddFree]
#Column	Teff	(I5)	[14610/35300] Effective temperature (2)	[ucd=phys.temperature.effective]
#Column	FWHM1	(F4.1)	[0.9/8]? HeI 4026{AA} FWHM; in {AA}	[ucd=spect.line.width;spect.line]
#Column	FWHM2	(F4.1)	[0.7/8.9]? HeI 4388{AA} FWHM; in {AA}	[ucd=spect.line.width;spect.line]
#Column	FWHM3	(F4.1)	[0.7/8.8]? HeI 4471{AA} FWHM; in {AA}	[ucd=spect.line.width]
#Column	vsini1	(I3)	? HeI 4026{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	vsini2	(I3)	? HeI 4388{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	vsini3	(I3)	? HeI 4471{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	<vsini>	(I3)	? Mean projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	e_<vsini>	(I2)	? Standard deviation in <vsini> between the available measures [NULL integer written as an empty string]	[ucd=stat.error;phys.veloc.rotat]
#Column	N	(I1)	Number of HeI lines used	[ucd=meta.number]
#Column	M	(A3)	[ACR.? ] Membership classification (A=association, C=cluster, R=runaway star)	[ucd=meta.code.member]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref]
#Column	_RA	(F9.5)	Positions from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|HIP|SpT|Vmag|Q|Teff|FWHM1|FWHM2|FWHM3|vsini1|vsini2|vsini3|<vsini>|e_<vsini>|N|M|Simbad|_RA|_DE
084.39501|-01.42213| 26439|B4V     | 7.09|-0.49|16300| 3.0| 2.6| 2.9| 93| 88| 94| 92| 3|3|A  |Simbad|084.39501|-01.42213
084.55723|-01.16918| 26508|B2V     | 6.81|-0.64|20600| 5.7| 5.5| 6.5|236|224|248|236|12|3|A  |Simbad|084.55723|-01.16918
084.76001|-05.19447| 26581|B3V     | 7.55|-0.45|15410| 3.3| 3.0| 3.1|113|108|100|107| 7|3|A.R|Simbad|084.76001|-05.19447
085.34336|-06.93520| 26785|B2V     | 7.63|-0.61|19600| 2.5| 1.8| 1.6| 48| 47| 34| 43| 8|3|A  |Simbad|085.34336|-06.93520
085.58876|-08.13338| 26876|B4V     | 8.90|-0.54|17550| 5.2| 5.3| 5.8|203|217|214|211| 7|3|A  |Simbad|085.58876|-08.13338
086.21113|-21.65923| 27103|B3V     | 6.76|-0.60|19290| 3.0| 2.8| 3.4| 80| 99|100| 93|11|3|   |Simbad|086.21113|-21.65923
088.67133|-49.62701| 27937|B3V     | 6.09|-0.51|16780| 1.9| 1.5| 1.3| 30| 28| 28| 29| 1|3|   |Simbad|088.67133|-49.62701
091.71621|-11.17359| 28973|B3V     | 6.64|-0.56|18100| 2.2| 1.9| 1.8| 41| 51| 49| 47| 6|3|A  |Simbad|091.71621|-11.17359
092.11398|+13.93087| 29121|B3Vn    | 8.79|-0.64|20600| 8.0| 8.9| 8.8|355|375|361|364|10|3|C  |Simbad|092.11398|+13.93087
092.13343|+13.96694| 29127|B1V     | 8.33|-0.70|22870| 1.9| 1.4| 1.3| 18|   | 17| 17| 1|2|C  |Simbad|092.13343|+13.96694
092.39012|-05.06671| 29201|B0Ve    | 8.58|-0.85|30480| 5.3| 6.0| 6.4|233|255|261|249|15|3|R  |Simbad|092.39012|-05.06671
092.40770|-59.52211| 29213|B4V     | 7.96|-0.54|17550| 4.5| 4.4| 4.9|165|174|171|170| 5|3|R  |Simbad|092.40770|-59.52211
092.90054|-21.47164| 29387|B3V     | 8.61|-0.60|19290| 4.2| 4.2| 4.6|150|166|154|157| 8|3|   |Simbad|092.90054|-21.47164
092.96589|-06.55029| 29417|B2V     | 5.05|-0.64|20600| 1.6| 1.0| 1.0|  0|  3|   |  2| 2|2|A.R|Simbad|092.96589|-06.55029
092.99470|+07.39132| 29429|B1V     | 7.05|-0.67|21690| 3.1| 2.5| 3.0| 85| 87| 88| 87| 1|3|   |Simbad|092.99470|+07.39132
093.06639|+10.33342| 29446|B2V     | 7.49|-0.54|17550| 2.8| 2.6| 3.1| 78| 87| 94| 86| 8|3|   |Simbad|093.06639|+10.33342
093.78530|+13.85110| 29678|B1V     | 5.89|-0.79|27050| 1.7| 1.1| 1.0| 11| 16|   | 14| 3|2|R  |Simbad|093.78530|+13.85110
094.03205|-16.61801| 29771|B2/B3Ve | 5.96|-0.63|20260| 6.1| 6.2| 6.6|257|256|256|256| 1|3|   |Simbad|094.03205|-16.61801
094.55720|-19.96697| 29941|B2/B3V  | 5.49|-0.58|18680| 2.6| 2.2| 2.6| 58| 65| 78| 67|11|3|   |Simbad|094.55720|-19.96697
095.15100|-34.14414| 30143|B1.5Ve  | 5.53|-0.76|25540| 5.4| 5.8| 6.3|228|246|249|241|11|3|R  |Simbad|095.15100|-34.14414
095.82705|+03.76449| 30382|B3V     | 6.38|-0.52|17030| 1.4| 1.2| 0.8| 11|  9|   | 10| 2|2|   |Simbad|095.82705|+03.76449
096.08575|-12.96194| 30468|B4Ve    | 6.12|-0.57|18380| 1.9| 1.6| 0.8| 21| 35|   | 28|10|2|   |Simbad|096.08575|-12.96194
096.75364|-04.35566| 30700|B4V     | 6.49|-0.44|15200| 5.5| 5.9| 6.0|220|246|222|229|15|3|C  |Simbad|096.75364|-04.35566
096.88246|-26.07750| 30739|B3V     | 8.80|-0.60|19290| 3.2| 3.0| 3.4| 90|107|102| 99| 9|3|   |Simbad|096.88246|-26.07750
096.90357|-15.30616| 30743|B4V     | 7.49|-0.54|17550| 3.1| 3.0| 3.0| 90|106| 91| 96| 9|3|   |Simbad|096.90357|-15.30616
096.98987|-04.76215| 30772|B2V     | 5.04|-0.63|20260| 2.6| 2.2| 2.4| 52| 69| 69| 63|10|3|C  |Simbad|096.98987|-04.76215
097.04253|-32.58007| 30788|B4V     | 4.46|-0.49|16300| 3.2| 2.7| 3.4|102| 93|111|102| 9|3|   |Simbad|097.04253|-32.58007
097.66051|-22.32181| 31028|B4Ve    | 7.20|-0.54|17550| 3.4| 3.1| 2.9|110|111| 91|104|12|3|   |Simbad|097.66051|-22.32181
097.90999|+05.02678| 31106|B0.2V   | 7.95|-0.85|30480| 2.6| 2.8| 3.0| 80|109| 97| 95|15|3|C  |Simbad|097.90999|+05.02677
098.47670|+04.66239| 31305|B0V     | 7.65|-0.87|31750| 2.3| 2.5| 2.9|   | 97| 94| 95| 2|3|C  |Simbad|098.47670|+04.66239
098.75153|+11.12442| 31411|B1V     | 8.04|-0.83|29270| 3.2| 3.2| 3.7|114|126|128|123| 8|3|   |Simbad|098.75153|+11.12442
098.80466|-25.84021| 31436|B2/B3V  | 7.85|-0.66|21320| 6.6| 6.4| 6.8|284|264|265|271|11|3|A  |Simbad|098.80466|-25.84021
099.81289|-31.83559| 31824|B3V     | 9.69|-0.62|19930| 2.1| 1.6| 1.4| 24|   | 18| 21| 4|2|   |Simbad|099.81289|-31.83559
099.94506|-43.40290| 31875|B3V     | 7.41|-0.56|18100| 4.2| 3.9| 4.1|150|151|132|144|11|3|R  |Simbad|099.94506|-43.40290
100.17622|+09.65592| 31955|B2V     | 7.95|-0.74|24600| 2.6| 2.2| 2.1| 66| 74| 63| 67| 6|3|C  |Simbad|100.17622|+09.65592
100.30904|-40.34985| 32007|B4V     | 6.12|-0.49|16300| 4.3| 4.4| 4.9|158|173|171|167| 8|3|   |Simbad|100.30904|-40.34985
100.53814|-22.44354| 32084|B3V     | 8.09|-0.54|17550| 3.8| 3.6| 3.7|127|135|115|126|10|3|A  |Simbad|100.53814|-22.44354
100.61489|-23.23258| 32112|B3V     | 6.90|-0.46|15630| 2.4| 1.9| 1.8| 67| 52| 58| 59| 8|3|   |Simbad|100.61489|-23.23258
101.60747|-23.14933| 32454|B4V     | 8.24|-0.54|17550| 5.2| 5.9| 6.1|204|242|228|225|19|3|   |Simbad|101.60747|-23.14933
103.16961|-21.18428| 33007|B4V     | 7.43|-0.49|16300| 4.3| 4.6| 4.7|157|182|160|166|14|3|A  |Simbad|103.16961|-21.18428
103.59370|-23.04783| 33182|B2/B3V  | 8.80|-0.51|16780| 1.4| 1.2| 0.9| 11|  9|  9| 10| 1|3|   |Simbad|103.59370|-23.04783
103.67169|-24.25568| 33208|B3V     | 8.84|-0.52|17030| 4.8| 4.1| 4.8|183|160|165|169|12|3|A  |Simbad|103.67169|-24.25568
103.67740|-24.92466| 33211|B3V     | 9.14|-0.56|18100| 2.6| 2.3| 2.2| 62| 74| 65| 67| 6|3|A  |Simbad|103.67740|-24.92466
103.87815|-27.13712| 33288|B3V     | 8.23|-0.57|18380| 3.8| 3.5| 3.4|125|135|104|121|15|3|   |Simbad|103.87815|-27.13712
104.33842|-11.11764| 33457|B3V     | 9.58|-0.54|17550| 3.7| 3.5| 3.8|122|131|123|125| 5|3|   |Simbad|104.33842|-11.11764
104.42111|+01.49130| 33490|B3V     | 7.98|-0.53|17290| 3.7| 3.3| 3.6|122|121|113|119| 5|3|R  |Simbad|104.42111|+01.49130
104.42763|-27.53751| 33492|B2.5V   | 6.23|-0.57|18380| 2.7| 2.2| 2.7| 66| 67| 81| 71| 8|3|   |Simbad|104.42763|-27.53751
104.50881|-22.87610| 33523|B2V     | 8.83|-0.66|21320| 4.5| 4.8| 4.8|166|196|166|176|17|3|A  |Simbad|104.50881|-22.87610
104.59548|-20.52953| 33554|B2/B3V  | 8.54|-0.55|17820| 4.3| 4.4| 4.6|158|173|156|162| 9|3|   |Simbad|104.59548|-20.52953
104.64958|-25.41416| 33575|B2V     | 5.58|-0.58|18680| 2.6| 2.0| 2.0| 59| 54| 56| 57| 3|3|   |Simbad|104.64958|-25.41416
104.68207|-30.99804| 33591|B3V     | 6.39|-0.50|16540| 1.3| 1.2| 0.8| 10| 12|   | 11| 1|2|   |Simbad|104.68207|-30.99803
104.75247|-26.47443| 33611|B2V     | 7.17|-0.66|21320| 1.7| 1.1| 1.0|  6|  7|   |  6| 1|2|A  |Simbad|104.75247|-26.47443
104.81079|-21.37968| 33635|B3V     | 8.71|-0.50|16540| 1.9| 1.5| 1.3| 36| 30| 27| 31| 5|3|   |Simbad|104.81079|-21.37968
104.89702|-09.50125| 33663|B3V     | 8.80|-0.58|18680| 2.2| 1.9| 1.9| 38| 52| 54| 48| 9|3|   |Simbad|104.89702|-09.50125
105.03451|-20.15842| 33703|B3V     | 6.30|-0.47|15840| 3.4| 3.2| 3.8|113|117|124|118| 5|3|   |Simbad|105.03451|-20.15842
105.05112|-27.79995| 33708|B3V     | 8.30|-0.50|16540| 6.1| 6.7| 6.6|256|275|254|262|11|3|   |Simbad|105.05112|-27.79995
105.19807|-26.09344| 33769|B2/B3Ve | 7.82|-0.60|19290| 6.8|    | 7.0|294|   |272|283|16|2|A  |Simbad|105.19807|-26.09344
105.30098|-27.68743| 33814|B3V     | 8.09|-0.65|20960| 2.8| 2.2| 2.4| 66| 67| 71| 68| 2|3|A  |Simbad|105.30098|-27.68743
105.36270|-03.11758| 33836|O9V     | 7.68|-0.89|33110|    | 6.2| 7.6|   |265|318|291|37|2|   |Simbad|105.36270|-03.11758
105.39003|-27.22294| 33846|B3Ve    | 6.94|-0.58|18680| 5.0| 5.5| 5.3|195|225|191|204|18|3|A  |Simbad|105.39003|-27.22294
105.92880|-25.08391| 34041|B2/B3V  | 6.85|-0.60|19290| 3.0| 2.4| 3.1| 79| 76| 90| 82| 7|3|A  |Simbad|105.92880|-25.08391
106.15959|-11.52406| 34133|B0V     | 7.34|-0.82|28690| 1.2| 1.0| 1.1|   |  9|  5|  7| 3|2|C  |Simbad|106.15959|-11.52406
106.40675|-11.15726| 34213|B3V     | 9.38|-0.63|20260| 1.0| 1.1| 1.1|  2|  8|  0|  3| 4|3|   |Simbad|106.40675|-11.15726
106.50203|-30.65571| 34248|B3V     | 6.33|-0.52|17030| 1.5| 1.1| 0.8| 15|   |   | 15|  |1|   |Simbad|106.50203|-30.65571
106.73515|-11.32734| 34325|B1V     | 7.66|-0.78|26530| 1.1| 1.0| 1.0|  2|   |  3|  3| 0|2|   |Simbad|106.73515|-11.32734
106.77949|-40.89327| 34339|B3V     | 5.78|-0.56|18100| 4.3| 4.3| 4.7|158|169|162|163| 5|3|   |Simbad|106.77949|-40.89327
106.81781|-59.71641| 34350|B4V     | 6.47|-0.45|15410| 2.0| 1.6| 1.3|   | 33| 35| 34| 1|2|   |Simbad|106.81781|-59.71641
106.97049|-11.91401| 34395|B2V     | 8.72|-0.69|22470| 2.8| 2.1| 2.4| 72| 67| 69| 69| 3|3|A  |Simbad|106.97049|-11.91401
107.18527|-23.77515| 34478|B3V     | 9.00|-0.60|19290| 2.1| 1.8| 1.9|   | 44| 49| 47| 3|2|   |Simbad|107.18527|-23.77515
107.20585|-24.04379| 34489|B2V     | 6.65|-0.65|20960| 3.3| 2.9| 3.1| 96|104| 90| 96| 7|3|A  |Simbad|107.20585|-24.04379
107.22436|-11.50151| 34499|B2V     | 8.75|-0.66|21320| 1.9| 1.3| 1.1| 14| 16|   | 15| 2|2|A  |Simbad|107.22436|-11.50151
107.28608|-31.93356| 34519|B2V     | 7.47|-0.72|23710| 3.8| 3.9| 4.1|135|154|139|143|10|3|   |Simbad|107.28608|-31.93356
107.38884|-28.44461| 34562|B2V     | 8.27|-0.55|17820| 1.9| 1.5| 1.3| 25| 30| 25| 27| 3|3|   |Simbad|107.38884|-28.44461
107.50216|-28.74818| 34601|B2V     | 7.31|-0.62|19930| 4.8| 4.4| 4.7|186|178|160|175|13|3|A  |Simbad|107.50216|-28.74818
107.69565|-09.33600| 34669|B4V     | 7.42|-0.48|16070| 1.9| 1.6| 1.4| 37| 33| 37| 35| 2|3|C  |Simbad|107.69565|-09.33600
108.24211|-12.60583| 34878|B3V     | 8.99|-0.59|18980| 3.3| 2.6| 2.9| 95| 89| 86| 90| 4|3|   |Simbad|108.24211|-12.60583
108.29112|-20.58131| 34894|B3V     | 8.49|-0.60|19290| 3.5| 2.9| 3.1|106|101| 93|100| 7|3|   |Simbad|108.29112|-20.58131
108.56996|-28.16951| 34983|B3V     | 7.92|-0.58|18680| 2.0| 1.6| 1.3| 26| 33| 17| 25| 8|3|   |Simbad|108.56996|-28.16951
108.83780|-30.68645| 35083|B3V     | 5.34|-0.52|17030| 1.4| 1.5| 1.2|   | 27| 19| 23| 5|2|C  |Simbad|108.83780|-30.68645
109.15134|-23.82686| 35208|B3V     | 7.55|-0.60|19290| 4.2| 4.1| 4.5|150|164|147|153| 9|3|   |Simbad|109.15134|-23.82686
109.20587|-36.59263| 35226|B2IV-V  | 5.01|-0.57|18380| 2.7| 2.3| 2.6| 68| 70| 77| 72| 5|3|C  |Simbad|109.20587|-36.59263
109.67252|-20.13094| 35413|B3V     | 8.60|-0.49|16300| 1.7| 1.6| 1.3| 26| 35| 31| 31| 4|3|A  |Simbad|109.67252|-20.13094
109.80319|-24.95571| 35461|B2V     | 6.80|-0.61|19600| 3.3| 2.8| 3.3| 93| 99| 96| 96| 3|3|C  |Simbad|109.80319|-24.95571
109.87543|-22.00479| 35493|O9V     | 8.79|-0.88|32420| 2.0| 1.6| 1.4| 46| 45| 30| 41| 9|3|C  |Simbad|109.87543|-22.00479
110.22120|-22.85043| 35609|B3V     | 6.57|-0.52|17030| 5.0| 4.6| 5.2|193|184|184|187| 5|3|   |Simbad|110.22120|-22.85043
110.44760|-48.32894| 35683|B4V     | 8.40|-0.51|16780| 3.3| 2.9| 3.4|108|103|109|107| 3|3|   |Simbad|110.44760|-48.32894
110.50856|-08.97938| 35707|O9V     | 6.40|-0.90|33820|    |    |    |   |   |   |   |  |0|   |Simbad|110.50856|-08.97938
111.54644|-26.23612| 36096|B2V     | 8.85|-0.60|19290| 4.4| 4.2| 4.8|161|166|163|163| 3|3|   |Simbad|111.54644|-26.23612
111.67694|-34.14069| 36143|B2IV-V  | 5.88|-0.57|18380| 4.3| 4.2| 4.7|156|166|159|160| 5|3|   |Simbad|111.67694|-34.14069
112.14309|-10.04376| 36320|B3V     | 6.62|-0.49|16300| 3.9| 3.8| 4.0|138|145|132|138| 7|3|   |Simbad|112.14309|-10.04376
112.85736|-36.15326| 36582|B4V     | 6.65|-0.48|16070| 2.0| 1.8| 1.4| 44| 44| 35| 41| 5|3|   |Simbad|112.85736|-36.15326
112.94880|-05.58319| 36615|B1V     | 8.82|-0.78|26530| 1.4| 0.9| 0.9|  2|  2|   |  2| 0|2|   |Simbad|112.94880|-05.58319
113.92275|-25.34058| 36944|B3V     | 8.62|-0.60|19290| 3.6| 2.7| 3.0|110| 96| 89| 98|11|3|A  |Simbad|113.92275|-25.34058
113.99895|-25.51186| 36972|B3V     | 8.73|-0.60|19290| 4.5| 4.4| 4.6|168|176|155|166|11|3|A  |Simbad|113.99895|-25.51186
114.15699|-44.98728| 37034|B3IV    | 7.20|-0.60|19290| 2.6| 2.0| 1.9| 55| 53| 51| 53| 2|3|   |Simbad|114.15699|-44.98728
